Date,Actual,Predicted,all_dates,dates,real_dates
2000-05-30,392.359,381.997,2000-05-30,2000-05-30,2022-04-03
2000-05-31,392.363,381.102,2000-05-31,2000-05-31,2022-05-05
2000-06-01,392.369,381.957,2000-06-01,2000-06-01,2022-05-06
2000-06-02,392.376,381.937,2000-06-02,2000-06-02,2022-05-22
2000-06-03,392.385,382.024,2000-06-03,2000-06-03,2022-06-07
2000-06-04,392.395,381.872,2000-06-04,2000-06-04,2022-06-09
2000-06-05,392.407,381.960,2000-06-05,2000-06-05,2022-06-15
2000-06-06,392.421,382.056,2000-06-06,2000-06-06,2022-06-30
2000-06-07,392.437,381.939,2000-06-07,2000-06-07,2022-07-09
2000-06-08,392.455,381.912,2000-06-08,2000-06-08,2022-07-25
2000-06-09,392.475,381.903,2000-06-09,2000-06-09,2022-08-02
2000-06-10,392.498,381.997,2000-06-10,2000-06-10,2022-08-11
2000-06-11,392.523,381.883,2000-06-11,2000-06-11,2022-08-28
2000-06-12,392.550,382.073,2000-06-12,2000-06-12,2022-09-10
2000-06-13,392.580,381.846,2000-06-13,2000-06-13,2023-01-16
2000-06-14,392.613,382.023,2000-06-14,2000-06-14,2023-01-17
2000-06-15,392.648,381.515,2000-06-15,2000-06-15,2023-01-21
2000-06-16,392.686,382.090,2000-06-16,2000-06-16,2023-02-18
2000-06-17,392.727,381.491,2000-06-17,2000-06-17,2023-02-25
2000-06-18,392.771,381.996,2000-06-18,2000-06-18,2023-03-01
2000-06-19,392.817,381.432,2000-06-19,2000-06-19,2023-03-05
2000-06-20,392.866,381.973,2000-06-20,2000-06-20,2023-03-06
2000-06-21,392.918,381.943,2000-06-21,2000-06-21,2023-03-13
2000-06-22,392.973,382.052,2000-06-22,2000-06-22,2023-03-21
2000-06-23,393.031,382.084,2000-06-23,2000-06-23,2023-03-30
2000-06-24,393.091,382.126,2000-06-24,2000-06-24,2023-04-04
2000-06-25,393.154,382.086,2000-06-25,2000-06-25,2023-04-07
2000-06-26,393.219,382.144,2000-06-26,2000-06-26,2023-04-09
2000-06-27,393.286,381.983,2000-06-27,2000-06-27,2023-04-23
2000-06-28,393.356,382.093,2000-06-28,2000-06-28,2023-05-16
2000-06-29,393.429,382.014,2000-06-29,2000-06-29,2023-05-18
2000-06-30,393.503,381.764,2000-06-30,2000-06-30,2023-05-24
2000-07-01,393.579,381.873,2000-07-01,2000-07-01,2023-05-25
2000-07-02,393.657,380.280,2000-07-02,2000-07-02,2023-06-01
2000-07-03,393.736,381.707,2000-07-03,2000-07-03,2023-06-09
2000-07-04,393.817,380.065,2000-07-04,2000-07-04,2023-06-17
2000-07-05,393.898,379.942,2000-07-05,2000-07-05,2023-06-18
2000-07-06,393.981,380.207,2000-07-06,2000-07-06,2023-06-25
2000-07-07,394.065,380.213,2000-07-07,2000-07-07,2023-08-04
2000-07-08,394.149,380.352,2000-07-08,2000-07-08,2023-08-05
2000-07-09,394.233,380.670,2000-07-09,2000-07-09,2023-08-21
2000-07-10,394.318,382.158,2000-07-10,2000-07-10,2023-08-24
2000-07-11,394.402,382.412,2000-07-11,2000-07-11,2023-08-28
2000-07-12,394.485,383.207,2000-07-12,2000-07-12,2023-08-29
2000-07-13,394.568,384.677,2000-07-13,2000-07-13,2023-09-15
2000-07-14,394.650,388.478,2000-07-14,2000-07-14,2023-10-16
2000-07-15,394.731,388.713,2000-07-15,2000-07-15,2023-10-23
2000-07-16,394.811,389.223,2000-07-16,2000-07-16,2023-11-08
2000-07-17,394.889,389.021,2000-07-17,2000-07-17,2023-11-24
2000-07-18,394.965,390.068,2000-07-18,2000-07-18,2023-12-05
2000-07-19,395.040,391.377,2000-07-19,2000-07-19,2024-01-11
2000-07-20,395.113,392.487,2000-07-20,2000-07-20,2024-01-12
2000-07-21,395.184,393.429,2000-07-21,2000-07-21,2024-02-20
2000-07-22,395.252,393.156,2000-07-22,2000-07-22,2024-02-21
2000-07-23,395.319,394.007,2000-07-23,2000-07-23,2024-02-28
2000-07-24,395.382,394.319,2000-07-24,2000-07-24,2024-02-29
2000-07-25,395.444,393.918,2000-07-25,2000-07-25,2024-04-16
2000-07-26,395.502,394.602,2000-07-26,2000-07-26,2024-05-03
2000-07-27,395.558,393.288,2000-07-27,2000-07-27,2024-05-10
2000-07-28,395.612,393.810,2000-07-28,2000-07-28,2024-05-11
2000-07-29,395.662,393.356,2000-07-29,2000-07-29,2024-05-18
2000-07-30,395.710,393.509,2000-07-30,2000-07-30,2024-06-03
2000-07-31,395.755,393.295,2000-07-31,2000-07-31,2024-06-20
2000-08-01,395.797,394.198,2000-08-01,2000-08-01,2024-06-27
2000-08-02,395.836,393.349,2000-08-02,2000-08-02,2024-07-22
2000-08-03,395.872,393.162,2000-08-03,2000-08-03,2024-08-06
2000-08-04,395.905,393.204,2000-08-04,2000-08-04,2024-08-22
2000-08-05,395.935,392.967,2000-08-05,2000-08-05,2024-09-07
2000-08-06,395.962,393.598,2000-08-06,2000-08-06,2024-10-02
2000-08-07,395.986,393.243,2000-08-07,2000-08-07,2024-10-09
2000-08-08,396.007,393.538,2000-08-08,2000-08-08,2024-10-26
2000-08-09,396.025,393.205,2000-08-09,2000-08-09,
2000-08-10,396.040,393.514,2000-08-10,2000-08-10,
2000-08-11,396.052,393.480,2000-08-11,2000-08-11,
2000-08-12,396.062,393.299,2000-08-12,2000-08-12,
2000-08-13,396.068,393.030,2000-08-13,2000-08-13,
2000-08-14,396.072,393.323,2000-08-14,2000-08-14,
2000-08-15,396.073,393.312,2000-08-15,2000-08-15,
2000-08-16,396.071,393.377,2000-08-16,2000-08-16,
2000-08-17,396.067,393.418,2000-08-17,2000-08-17,
2000-08-18,396.059,393.476,2000-08-18,2000-08-18,
2000-08-19,396.050,393.493,2000-08-19,2000-08-19,
2000-08-20,396.037,393.234,2000-08-20,2000-08-20,
2000-08-21,396.023,393.240,2000-08-21,2000-08-21,
2000-08-22,396.005,393.425,2000-08-22,2000-08-22,
2000-08-23,395.986,393.368,2000-08-23,2000-08-23,
2000-08-24,395.964,393.538,2000-08-24,2000-08-24,
2000-08-25,395.940,393.555,2000-08-25,2000-08-25,
2000-08-26,395.914,393.700,2000-08-26,2000-08-26,
2000-08-27,395.885,393.724,2000-08-27,2000-08-27,
2000-08-28,395.855,393.704,2000-08-28,2000-08-28,
2000-08-29,395.823,393.520,2000-08-29,2000-08-29,
2000-08-30,395.789,393.792,2000-08-30,2000-08-30,
2000-08-31,395.753,393.689,2000-08-31,2000-08-31,
2000-09-01,395.715,393.653,2000-09-01,2000-09-01,
2000-09-02,395.676,393.569,2000-09-02,2000-09-02,
2000-09-03,395.635,393.478,2000-09-03,2000-09-03,
2000-09-04,395.592,393.597,2000-09-04,2000-09-04,
2000-09-05,395.548,393.506,2000-09-05,2000-09-05,
2000-09-06,395.503,393.036,2000-09-06,2000-09-06,
2000-09-07,395.457,388.936,2000-09-07,2000-09-07,
2000-09-08,395.409,391.384,2000-09-08,2000-09-08,
2000-09-09,395.360,385.869,2000-09-09,2000-09-09,
2000-09-10,395.310,387.632,2000-09-10,2000-09-10,
2000-09-11,395.259,383.054,2000-09-11,2000-09-11,
2000-09-12,395.207,385.517,2000-09-12,2000-09-12,
2000-09-13,395.155,383.969,2000-09-13,2000-09-13,
2000-09-14,395.101,386.781,2000-09-14,2000-09-14,
2000-09-15,395.048,382.206,2000-09-15,2000-09-15,
2000-09-16,394.993,381.733,2000-09-16,2000-09-16,
2000-09-17,394.938,381.564,2000-09-17,2000-09-17,
2000-09-18,394.883,380.356,2000-09-18,2000-09-18,
2000-09-19,394.827,380.019,2000-09-19,2000-09-19,
2000-09-20,394.771,379.826,2000-09-20,2000-09-20,
2000-09-21,394.715,379.638,2000-09-21,2000-09-21,
2000-09-22,394.658,379.975,2000-09-22,2000-09-22,
2000-09-23,394.602,379.928,2000-09-23,2000-09-23,
2000-09-24,394.546,380.118,2000-09-24,2000-09-24,
2000-09-25,394.490,379.962,2000-09-25,2000-09-25,
2000-09-26,394.434,379.966,2000-09-26,2000-09-26,
2000-09-27,394.378,380.019,2000-09-27,2000-09-27,
2000-09-28,394.323,380.084,2000-09-28,2000-09-28,
2000-09-29,394.269,380.261,2000-09-29,2000-09-29,
2000-09-30,394.215,380.193,2000-09-30,2000-09-30,
2000-10-01,394.161,380.003,2000-10-01,2000-10-01,
2000-10-02,394.109,380.071,2000-10-02,2000-10-02,
2000-10-03,394.057,380.061,2000-10-03,2000-10-03,
2000-10-04,394.006,380.216,2000-10-04,2000-10-04,
2000-10-05,393.956,380.182,2000-10-05,2000-10-05,
2000-10-06,393.907,380.123,2000-10-06,2000-10-06,
2000-10-07,393.859,380.186,2000-10-07,2000-10-07,
2000-10-08,393.812,380.321,2000-10-08,2000-10-08,
2000-10-09,393.767,380.729,2000-10-09,2000-10-09,
2000-10-10,393.723,381.080,2000-10-10,2000-10-10,
2000-10-11,393.681,381.180,2000-10-11,2000-10-11,
2000-10-12,393.640,381.553,2000-10-12,2000-10-12,
2000-10-13,393.601,381.382,2000-10-13,2000-10-13,
2000-10-14,393.563,381.719,2000-10-14,2000-10-14,
2000-10-15,393.528,380.948,2000-10-15,2000-10-15,
2000-10-16,393.494,381.174,2000-10-16,2000-10-16,
2000-10-17,393.462,381.171,2000-10-17,2000-10-17,
2000-10-18,393.432,382.458,2000-10-18,2000-10-18,
2000-10-19,393.404,381.782,2000-10-19,2000-10-19,
2000-10-20,393.379,381.479,2000-10-20,2000-10-20,
2000-10-21,393.356,381.049,2000-10-21,2000-10-21,
2000-10-22,393.335,380.895,2000-10-22,2000-10-22,
2000-10-23,393.316,381.484,2000-10-23,2000-10-23,
2000-10-24,393.300,380.684,2000-10-24,2000-10-24,
2000-10-25,393.287,381.322,2000-10-25,2000-10-25,
2000-10-26,393.276,380.650,2000-10-26,2000-10-26,
2000-10-27,393.268,381.006,2000-10-27,2000-10-27,
2000-10-28,393.263,380.449,2000-10-28,2000-10-28,
2000-10-29,393.260,381.123,2000-10-29,2000-10-29,
2000-10-30,393.261,380.204,2000-10-30,2000-10-30,
2000-10-31,393.264,381.149,2000-10-31,2000-10-31,
2000-11-01,393.271,380.592,2000-11-01,2000-11-01,
2000-11-02,393.280,380.978,2000-11-02,2000-11-02,
2000-11-03,393.293,380.228,2000-11-03,2000-11-03,
2000-11-04,393.309,380.783,2000-11-04,2000-11-04,
2000-11-05,393.328,380.127,2000-11-05,2000-11-05,
2000-11-06,393.351,381.068,2000-11-06,2000-11-06,
2000-11-07,393.376,380.062,2000-11-07,2000-11-07,
2000-11-08,393.406,380.688,2000-11-08,2000-11-08,
2000-11-09,393.438,380.103,2000-11-09,2000-11-09,
2000-11-10,393.475,379.991,2000-11-10,2000-11-10,
2000-11-11,393.514,381.174,2000-11-11,2000-11-11,
2000-11-12,393.557,380.641,2000-11-12,2000-11-12,
2000-11-13,393.604,380.300,2000-11-13,2000-11-13,
2000-11-14,393.654,380.805,2000-11-14,2000-11-14,
2000-11-15,393.708,381.485,2000-11-15,2000-11-15,
2000-11-16,393.765,381.901,2000-11-16,2000-11-16,
2000-11-17,393.826,382.324,2000-11-17,2000-11-17,
2000-11-18,393.891,381.707,2000-11-18,2000-11-18,
2000-11-19,393.959,384.348,2000-11-19,2000-11-19,
2000-11-20,394.030,384.081,2000-11-20,2000-11-20,
2000-11-21,394.105,385.869,2000-11-21,2000-11-21,
2000-11-22,394.183,385.756,2000-11-22,2000-11-22,
2000-11-23,394.265,386.745,2000-11-23,2000-11-23,
2000-11-24,394.350,386.407,2000-11-24,2000-11-24,
2000-11-25,394.438,386.854,2000-11-25,2000-11-25,
2000-11-26,394.530,385.968,2000-11-26,2000-11-26,
2000-11-27,394.624,386.724,2000-11-27,2000-11-27,
2000-11-28,394.722,386.110,2000-11-28,2000-11-28,
2000-11-29,394.822,386.880,2000-11-29,2000-11-29,
2000-11-30,394.925,385.894,2000-11-30,2000-11-30,
2000-12-01,395.031,386.606,2000-12-01,2000-12-01,
2000-12-02,395.140,385.699,2000-12-02,2000-12-02,
2000-12-03,395.250,387.136,2000-12-03,2000-12-03,
2000-12-04,395.363,386.233,2000-12-04,2000-12-04,
